10 12
15 31
20 83
25 129
30 231
35 377
40 577
45 809
50 1143
55 1524
60 1924
65 2532
70 3122
75 3861
80 4793
85 5650
90 6785
95 7817
100 9307
105 10976
110 12364
115 14112
120 16089
125 18314
130 20365
135 23229
140 25492
145 28779
150 31502
155 35013
160 38499
165 42428
170 46479
175 50759
180 55037
185 60090
190 78084
195 74576
200 76605
205 81170
210 86603
215 92957
220 99794
225 107667
230 117215
235 123882
240 131075
245 139057
250 147660
255 157422
260 164802
265 175656
270 186344
275 195984
280 206165
285 219086
290 229693
295 241695
300 257535
